GeneID	GSM8474242	GSM8474243	GSM8474244	GSM8474245	GSM8474246	GSM8474247
100506866	237	265	270	223	169	225
7273	1420	1210	1498	1152	848	1367
101927055	13	0	2	1	0	1
285025	0	1	1	0	0	0
105373766	0	0	1	0	0	0
91404	5025	3836	3667	3132	2868	3622
151126	210	143	122	81	89	122
101927073	0	1	0	5	0	4
107985967	7	3	0	0	0	0
100302172	0	0	0	0	0	0
57703	913	667	1170	1514	1149	1671
105373767	0	0	0	0	0	1
105373768	0	0	0	0	0	0
105373769	9	5	2	0	0	5
105373770	0	18	3	1	4	13
101669767	944	744	668	336	332	469
105373771	83	77	68	42	26	52
105373772	135	46	89	60	57	86
10477	2196	2662	1641	1780	1753	2052
107985831	0	5	2	1	1	1
101927156	0	0	0	0	0	0
100616213	0	0	0	0	0	0
3676	210	175	114	118	101	132
375298	47	55	47	49	24	26
4760	0	0	0	0	0	0
6744	5400	4434	4223	4930	4375	5688
151242	11	12	5	17	7	7
102724288	0	0	0	0	0	0
5136	0	1	7	1	8	9
101929976	0	0	1	0	0	0
54431	6632	4697	5403	6329	5630	7218
2487	8	5	5	8	7	7
10787	12199	9509	9440	10662	9289	12253
142679	184	142	82	90	80	111
129401	314	237	216	546	538	753
105373774	29	10	37	63	36	54
105373775	0	0	0	0	0	0
105373777	0	0	0	0	0	0
102724340	0	0	0	0	0	0
105373776	0	0	0	0	0	0
100616305	0	0	0	0	0	0
107985968	0	0	0	0	0	0
105373779	0	0	0	0	0	0
105373780	0	0	0	0	0	0
91752	0	0	4	1	2	3
105373782	0	0	0	0	0	0
105373781	0	0	0	0	0	0
107985832	0	0	0	0	0	0
101927196	17	9	5	5	7	15
107985782	21	20	24	9	8	36
401024	164	100	323	153	86	291
107985781	5	6	13	6	7	6
107985783	66	75	93	60	55	88
101927217	33	10	9	7	6	25
105373785	9	39	11	11	12	14
55854	2658	1796	2358	3094	2670	3745
107985784	14	16	30	16	9	16
3685	10650	7471	7901	7928	6895	9442
165215	1495	1071	1376	662	660	821
151112	0	0	0	0	0	0
105373786	42	17	26	42	29	36
10203	232	125	224	135	126	114
7035	6586	4294	5582	4685	3898	5293
105373788	0	0	0	0	0	0
104355152	6	0	0	1	5	3
51454	1749	1302	1602	2202	1796	2852
693146	0	3	1	1	10	2
105373790	1	0	0	4	0	6
116093	0	0	0	0	1	0
105373791	0	2	3	5	1	1
1281	42	62	43	41	16	28
100302219	0	0	0	0	0	0
100616324	0	0	0	0	0	0
100500837	7	5	1	0	2	3
1290	1168	1313	789	930	819	962
100422908	0	0	0	0	0	0
101927252	21	1	5	4	4	3
84128	1382	885	995	1371	1150	1475
30061	90	81	36	14	29	27
54529	919	724	761	831	911	1008
110599588	284	177	217	247	252	305
105373793	13	20	6	4	7	8
150709	120	89	94	69	93	127
64172	295	214	245	260	255	359
101409258	4	4	3	5	3	8
94101	1049	1006	1029	1127	989	1344
5378	584	478	732	871	629	1079
105373796	51	18	59	52	49	82
84281	8137	6722	6221	1589	1688	2041
105373795	3	3	0	3	2	9
2660	19	35	56	30	32	41
105373794	19	20	23	32	23	25
26275	794	590	586	539	402	598
3628	406	634	287	440	383	533
54842	1694	1649	1191	1505	1225	1563
105373802	29	18	43	53	43	96
100131211	500	386	348	325	343	398
105376748	47	28	13	34	17	18
4664	5183	4405	4228	4370	3907	5117
2744	15857	11393	15331	18729	14463	22303
6772	5066	5363	3982	4180	3965	4637
105373805	5	3	0	9	4	4
107985785	0	0	0	3	0	0
6775	51	31	28	26	24	19
105373804	7	0	0	0	0	0
4430	4213	3690	3209	3976	3488	4475
107985833	0	0	0	0	0	0
64859	1407	1069	1218	1344	1031	1469
105747689	63	54	45	33	41	82
105373811	0	0	0	0	0	0
105373812	2	0	0	0	1	0
729254	0	0	0	0	0	0
8436	1119	1248	862	1054	923	1226
23671	2	7	0	4	5	3
105373813	5	0	7	7	4	1
101927366	21	0	3	4	1	0
105376754	5	2	0	3	0	0
112268441	6	3	0	3	0	8
64002	0	0	0	0	0	0
107985969	0	0	0	0	0	0
105373815	0	0	0	0	0	0
101927406	0	0	0	0	1	0
105373816	61	52	37	24	20	79
105376755	32	65	49	40	33	66
101927431	0	9	3	0	3	5
105373817	7	5	7	5	4	20
105373818	0	0	0	0	0	1
57181	3106	2357	2473	2654	2462	3148
56171	253	130	224	145	80	181
107985972	7	13	9	3	7	9
105373819	0	0	0	0	0	0
9262	1806	1568	1535	1501	1443	1676
101927454	41	42	36	39	35	30
57520	306	300	198	235	188	269
101927482	0	0	0	0	2	0
105373822	0	0	0	0	0	0
105373821	0	0	0	2	0	0
105373823	1	0	0	0	0	0
284992	138	104	142	562	376	582
100130452	3	1	0	3	0	5
9330	1560	1500	1361	1308	1183	1533
401027	10	25	12	10	5	0
80055	1015	519	660	652	456	599
91526	493	358	432	409	386	393
101927596	3	0	0	0	1	0
105373826	0	4	10	0	0	0
101927547	2	3	0	1	3	0
105373824	0	0	0	0	0	0
23451	11124	9492	9203	10076	8822	11347
80219	524	553	451	616	562	733
3329	11344	10911	8595	13268	11998	15130
106635540	284	495	225	316	368	391
100529241	1569	1144	1244	1609	1370	2086
3336	852	582	554	880	731	1142
25843	812	617	765	836	715	1028
130132	116	84	61	103	72	134
92935	188	285	137	180	156	213
66037	32	12	10	17	23	31
105373828	8	1	0	1	0	0
5334	36	13	7	3	8	32
101927619	0	0	0	0	0	0
105373831	0	10	6	7	5	1
105373830	0	0	0	0	0	0
23314	475	492	411	374	406	409
150538	1	1	2	1	0	0
101927641	0	0	0	0	0	0
348751	201	152	119	108	75	136
101927687	8	1	4	16	1	10
205327	652	591	722	935	709	1118
129450	636	528	605	551	459	657
79568	269	441	160	185	216	189
105373833	0	0	0	0	0	0
26010	2395	2462	1962	1908	1856	2355
107985786	5	4	0	3	0	2
101927741	370	552	344	305	314	392
130535	510	492	338	321	339	374
151246	269	135	378	1529	1044	2122
316	32	34	25	37	64	104
107161151	0	0	0	0	0	0
100507140	2	0	0	0	0	1
101927795	343	363	214	331	320	488
9689	6751	5594	5167	8493	7986	9907
1195	2075	1443	2294	1976	1518	2355
53938	433	317	308	458	365	425
60491	431	532	310	670	576	752
4999	1852	1568	1218	1438	1429	1710
105373835	117	116	88	98	92	115
285172	766	529	686	820	663	813
4709	657	436	374	558	500	752
105373836	14	9	19	19	6	16
8837	3022	3022	2442	2645	2326	3129
65072	128	137	99	92	94	94
843	643	743	365	189	228	177
841	1772	1864	1430	1352	1359	1682
130540	77	49	66	61	53	70
66008	3340	3175	2572	2654	2646	3468
55437	1171	1096	911	765	741	1014
151254	144	97	74	66	57	49
65062	915	852	633	1134	970	1399
58538	10	2	2	10	8	47
57679	2155	2229	1567	2134	1806	2330
65061	0	7	5	18	20	18
8324	485	904	383	450	430	425
100652824	5	8	3	3	3	9
729224	8	3	0	0	2	0
7341	4448	3043	3480	4554	4066	5180
51602	2010	1646	1730	3352	2755	3936
692110	0	3	0	0	3	1
109616995	6	5	5	9	8	19
100113392	2	1	0	2	1	4
692058	3	18	5	17	12	28
107985976	4	5	4	2	2	4
659	6189	4967	4997	4351	3719	4957
150864	1472	1494	1019	766	732	951
130026	1091	901	875	707	685	942
55759	1352	1097	800	1337	1142	1368
79800	590	339	505	364	347	433
65065	1694	1070	1394	1304	1050	1655
57404	1274	1379	803	940	962	1193
10152	6205	5876	4501	5627	5020	6649
65059	1058	1087	836	1551	1342	1936
940	0	0	0	4	6	1
1493	0	3	0	5	3	9
101927840	0	0	0	0	0	0
29851	0	0	0	0	0	0
105373845	0	0	0	1	0	0
117583	955	794	667	573	566	691
8828	2117	2618	1505	2209	2054	2392
105373847	0	0	0	0	0	0
54891	1753	1582	1436	1377	1247	1700
105373848	0	0	1	2	3	1
4719	3960	4323	2797	3048	2994	3335
100329109	141	100	68	63	67	70
1933	2408	3523	1656	2334	2247	2890
26798	4	2	3	3	4	8
619569	3	8	2	0	6	14
2825	7	27	37	22	29	21
101669764	0	0	0	0	0	0
57683	1982	1187	1716	1579	1249	1859
8745	222	196	183	212	166	239
200726	0	0	0	0	0	1
391475	0	0	1	0	0	0
130752	90	67	65	48	26	96
22868	1091	776	920	972	821	1094
100423002	0	0	0	0	0	0
100422993	0	0	0	0	0	0
130749	319	271	269	287	211	338
8609	1709	1643	1305	2071	1717	2105
100423036	0	0	1	4	1	8
102465835	0	0	0	0	0	0
101927865	17	11	24	18	24	23
105373853	29	25	15	32	33	11
105373852	11	0	2	0	0	0
100302130	0	0	0	0	0	0
105373851	11	7	11	11	10	19
1385	3544	2210	2354	2266	2027	2604
151194	374	561	309	456	389	515
102724714	0	0	0	0	0	0
151195	808	837	607	840	811	951
7855	1088	1181	690	758	737	882
100616361	11	19	11	14	8	19
389072	712	762	501	441	371	490
105373854	0	4	1	1	0	1
100507443	0	0	0	0	0	0
1421	0	0	0	0	0	0
1420	0	0	0	0	0	0
1419	0	0	0	0	0	0
1418	0	0	0	0	0	0
389073	0	0	0	0	0	0
3417	3046	2989	2286	1485	1508	1720
100507475	10	7	5	0	5	6
200576	2499	2024	2255	2459	1901	2377
5746	169	101	63	56	76	54
105373855	2	0	0	1	1	3
101927960	9	3	9	2	2	2
105373857	0	0	0	0	0	0
105373856	5	0	2	2	1	0
4133	976	797	747	697	610	881
285175	1	1	1	1	0	1
6120	1904	1446	1379	1787	1494	2021
151050	817	550	699	697	566	878
101928020	43	48	83	67	77	114
112268429	6	1	0	2	1	0
107985977	24	20	19	41	22	24
33	25	14	9	24	12	13
4632	0	0	0	0	0	0
102724820	31	12	27	19	16	3
10314	3872	3227	2946	2755	2561	3526
1373	639	525	448	662	526	716
29034	1	0	1	0	0	0
107985978	0	0	0	0	0	0
2066	4563	3239	3419	1978	1696	1943
100313771	4	3	2	3	1	0
107985979	0	8	0	0	0	0
102725079	0	0	0	0	0	0
100616267	0	0	0	0	0	0
100616472	0	0	0	0	0	0
102725082	0	0	0	0	0	0
107985980	3	0	0	0	3	0
22807	118	63	108	81	70	133
105373863	0	0	0	0	0	0
105373864	0	0	0	0	0	0
107985981	0	0	0	0	0	0
100130451	0	0	0	0	0	0
79582	751	584	612	583	527	553
100616375	0	0	0	0	0	0
101928084	1	2	0	0	0	0
402117	3	0	1	0	1	0
100885780	0	0	0	0	0	0
580	298	312	290	630	552	858
101928103	3	7	11	39	16	48
109617008	0	0	0	0	0	0
26154	55	58	31	51	29	38
471	1702	1904	1112	1440	1380	1662
2335	35025	45459	24025	33255	32072	37880
112268430	700	975	517	709	613	788
105373868	0	2	4	0	1	0
102724849	0	0	2	0	0	0
102724861	0	1	0	0	3	3
646324	107	68	38	45	26	49
105373869	10	4	2	1	1	5
105373870	0	0	0	0	0	0
55686	929	1199	594	537	477	608
55825	924	1131	790	484	456	595
92691	319	279	158	105	119	154
7520	8730	7818	6330	8348	8139	9696
150967	335	292	159	279	198	180
57574	11	0	0	1	2	1
107985983	0	0	0	0	0	0
107985985	2	2	2	2	6	9
107985984	0	0	0	0	0	0
50485	553	696	339	394	427	472
100507554	21	30	11	18	19	18
6168	4754	7170	3394	3692	3832	5125
101928156	30	36	17	28	36	58
101928180	5	7	4	3	1	1
105373871	0	0	0	0	0	6
101928232	0	0	0	0	0	0
3485	125	358	74	121	94	110
3488	512	724	393	256	218	263
101928278	15	0	1	0	0	0
7141	0	0	0	0	0	0
105373876	0	0	0	0	0	0
101928327	0	0	0	0	0	0
105373874	0	0	3	0	0	0
105373873	19	15	23	26	26	51
105373872	0	0	0	0	0	0
105373877	1	0	0	3	3	0
729582	0	1	0	2	3	2
7145	154	248	117	183	215	261
109623482	0	0	0	0	0	0
102465485	0	0	0	0	0	0
105373878	0	0	0	0	0	0
285180	0	0	1	1	1	0
3580	3	3	4	0	0	0
3579	0	0	0	0	1	0
3577	0	0	0	0	0	3
101928487	14	29	4	6	5	6
10109	6096	6863	4265	5856	5585	6808
100189253	0	4	1	0	7	2
151306	2	0	4	8	4	2
14	931	2267	723	779	743	799
25953	395	826	326	278	279	286
64114	1507	2479	973	1207	1284	1312
102465256	20	216	15	21	31	33
105373881	5	0	0	0	0	0
105373880	0	14	6	2	6	15
103689911	8	3	1	0	1	3
102466197	0	1	1	0	0	0
375307	1	3	0	0	0	1
101928513	6	2	0	0	0	0
6556	10	6	0	6	1	10
58190	1023	2510	576	762	765	871
407017	0	0	0	1	1	0
7429	267	238	202	272	262	357
57695	1413	1156	974	1319	1225	1553
9125	1730	2120	1330	1925	1905	2402
84812	125	134	76	98	92	115
7701	956	1204	486	720	735	863
617	266	413	197	301	214	248
64320	355	525	218	355	341	414
27148	1005	1440	722	654	553	766
9654	600	836	473	595	585	758
1593	9	16	8	3	7	5
107985986	0	0	0	0	0	0
53632	0	1	0	4	0	1
103504730	0	0	0	0	0	0
7475	9	98	10	6	8	8
80326	63	348	54	50	68	50
107984111	8	27	6	13	2	18
105373882	0	0	0	0	0	0
101928537	1	0	1	0	10	3
8941	3	3	0	1	0	0
151300	0	0	0	0	0	0
54738	0	0	0	0	0	1
1412	0	0	0	0	0	0
494324	0	0	0	0	0	0
100129175	0	0	0	0	0	0
255101	8	3	6	0	1	0
107985987	0	0	0	0	0	0
3549	0	2	0	0	1	1
100422957	0	0	0	0	0	0
79840	328	278	150	206	246	304
151295	41	84	32	47	53	66
27013	456	1004	333	287	261	439
79137	1921	3954	1206	1219	1291	1668
130617	438	627	227	319	252	330
10058	131	265	123	124	132	182
79065	987	2178	630	805	838	912
55139	863	991	600	662	562	670
79411	400	373	180	228	234	287
8576	381	811	339	448	414	535
7277	239	602	194	412	328	495
80086	10	23	11	0	5	1
3300	733	1730	597	774	748	760
5798	2	0	0	1	9	3
406944	0	0	0	0	0	0
389075	0	0	0	0	0	0
107985835	0	0	0	1	0	0
105373883	1	12	4	4	10	2
23549	849	1747	600	713	606	774
105373884	0	2	0	2	0	0
1674	1	1	0	0	1	1
10290	107	335	59	79	99	61
105373885	0	0	4	0	0	2
100996693	4	11	4	3	4	0
29926	404	723	328	362	336	549
55515	0	7	4	0	0	4
79586	988	4875	628	878	827	856
130612	41	300	18	31	14	11
100423039	0	0	0	0	0	0
23363	596	1809	350	302	326	288
3623	5	27	5	0	0	3
114790	375	648	251	294	230	314
6508	304	797	189	265	254	308
105373886	0	0	0	0	0	0
105373887	0	0	0	0	0	0
105373888	0	0	0	0	0	0
105373889	0	0	0	0	0	0
105373890	0	0	0	0	0	0
100422959	0	0	0	0	0	0
105373891	0	0	0	0	0	0
105373893	0	0	0	0	0	0
105373894	0	0	0	0	0	0
105373895	0	0	0	0	0	0
105373896	0	0	0	0	0	0
107985989	0	0	0	0	0	0
107985988	0	0	0	0	0	0
107985990	0	0	0	0	0	0
2043	95	94	52	80	54	47
105373897	0	0	0	0	0	0
105373899	0	0	0	0	0	0
105373898	0	0	0	0	0	0
105373900	0	0	0	0	0	0
5077	0	0	0	0	0	0
107985991	0	0	0	0	0	0
151278	0	0	0	0	0	0
440934	11	34	25	16	13	15
130367	3723	5317	2914	2318	2330	2498
10056	1389	1390	1118	1827	1811	2143
105373902	8	22	5	22	9	15
116255	0	0	0	0	0	0
105373903	0	0	0	0	0	0
2181	4278	3385	2933	4200	3498	4773
105373904	2	6	3	14	3	28
23704	0	1	0	0	2	0
105373905	0	0	0	0	0	0
105373906	0	0	0	0	0	0
105373907	0	0	0	1	0	3
7857	95	41	53	70	51	83
130340	1143	1023	797	902	835	989
57590	2881	2173	2068	2477	2224	2802
65080	516	636	365	423	459	505
5270	6346	8138	4131	5146	5008	5895
105373908	0	0	0	0	1	0
79843	0	0	0	0	0	0
8452	3758	3009	2831	3635	3298	4437
105373909	0	0	0	0	0	0
105373910	3	0	1	4	10	10
105373911	0	1	0	0	2	0
55619	429	376	303	484	478	490
100616207	0	0	0	1	0	0
57624	14	8	4	12	4	3
105373914	0	5	2	9	3	0
107985992	0	0	0	0	1	0
646736	68	33	43	22	26	27
105373915	0	0	1	0	0	0
100847053	0	0	0	0	0	0
3667	1615	2780	1128	1449	1324	1535
84236	1675	1655	1138	1329	1249	1462
1286	1727	2094	1386	1157	1159	1252
1285	4403	4021	4523	3342	2583	3730
654841	67	72	38	42	79	46
56947	3605	3072	2540	2889	2798	3533
79853	34	1	10	7	7	20
100847081	0	2	0	0	0	0
3267	5754	4802	4221	4031	3866	4911
56918	0	0	0	0	1	5
729968	0	0	0	0	0	0
80704	15	15	20	14	14	26
6364	45	16	9	99	84	71
164781	9	25	3	45	70	77
105373918	0	0	0	0	1	0
80309	1	3	0	1	0	1
107985993	0	0	0	0	0	0
101928765	8	2	1	1	5	3
105373921	0	1	1	1	0	0
105373920	0	0	0	0	0	0
105373919	0	0	0	0	0	0
55022	11	25	13	24	28	55
92737	6	18	7	16	13	29
107985994	0	0	0	0	1	0
105373923	0	0	0	0	0	0
9320	9851	8804	7069	8270	7615	9499
130888	239	253	203	106	151	131
105373924	0	0	0	0	0	0
107985996	4	2	0	1	0	2
151473	18	5	10	7	6	18
107985995	0	0	0	0	0	0
107985997	1	0	0	0	0	0
3431	472	499	351	385	341	417
11262	42	75	58	86	38	70
93349	1183	982	901	828	823	1011
105373925	114	119	93	94	65	113
6672	1492	1500	1391	1454	1277	1745
101928816	13	8	7	15	12	11
112268431	2	0	0	0	0	0
151475	0	1	0	0	0	4
51719	3530	3489	2662	3803	3353	3989
81618	792	1998	649	732	772	807
151484	0	0	0	0	0	0
9290	5	8	5	4	2	8
348761	0	0	0	0	0	0
130560	0	0	0	0	0	0
257407	138	209	72	102	96	89
112268432	27	74	26	39	30	38
5707	4188	4575	3179	4211	3871	4938
3357	14	25	17	16	18	16
80210	601	873	517	452	429	452
100616317	2	0	2	2	0	2
93010	31	57	14	27	15	18
4691	25327	21840	18304	29050	25921	32065
654321	7	10	1	11	12	11
6082	7	9	1	9	12	0
25826	6	0	0	4	6	4
107985998	1	2	0	4	1	1
151477	8	34	23	42	33	31
10316	0	0	0	0	0	1
105376787	0	0	0	0	0	0
165100	0	0	0	0	0	0
105373928	0	1	0	0	1	0
5757	17702	22454	12086	17982	15902	16741
100302285	880	1114	626	853	754	1049
5147	456	599	382	376	382	487
64708	913	1228	659	626	670	752
100302126	0	0	0	0	0	0
4880	3	0	0	0	2	0
129563	556	871	383	489	461	528
693147	0	0	0	0	0	0
250	300	568	180	131	153	177
347694	0	0	0	0	2	0
251	23	75	13	4	11	19
107985999	3	6	1	1	1	0
248	0	1	0	0	0	0
9427	1	17	20	3	8	6
646960	0	1	0	0	0	0
1144	0	0	0	0	0	0
1146	4	2	3	3	1	1
200765	98	161	78	130	119	135
100847037	10	10	2	9	5	5
9470	1497	1812	1099	1177	1184	1464
105373929	0	1	0	0	0	1
80303	6	53	28	29	13	4
26058	3643	3345	2439	2505	2414	2898
3769	46	20	28	15	19	51
389084	69	105	47	52	50	76
25791	820	1943	546	785	786	893
101928881	0	0	0	0	0	0
4759	0	0	0	0	0	0
3635	0	0	0	0	1	0
55054	1062	1512	708	1116	917	1121
677775	4	4	0	0	3	1
677772	15	0	2	3	1	0
6295	0	1	0	2	1	0
8527	1115	2206	1010	1468	1237	1372
55230	2957	3119	2054	2075	1844	2325
54576	75	89	63	70	68	97
54575	75	89	71	70	68	97
54600	87	90	70	70	68	97
54577	75	89	63	73	68	98
54578	446	467	364	434	377	511
54579	75	90	68	70	68	97
54657	80	94	68	70	70	97
54659	79	91	63	73	71	98
414061	0	5	10	3	8	0
100286922	6	16	3	3	8	0
54658	98	89	73	79	75	122
339766	5	7	14	5	7	5
55355	322	400	234	1434	1434	1712
151507	325	292	198	256	286	332
79054	130	112	85	114	98	141
6694	0	0	0	0	0	5
105373932	0	0	6	0	0	0
105373933	3	0	9	1	4	4
105373934	0	0	0	0	0	0
10123	2879	3796	1995	2354	2039	2395
105373936	0	1	1	2	0	0
106144537	0	6	0	4	0	0
101927896	16	13	12	5	5	1
105373937	0	0	0	0	0	0
105373938	0	0	0	0	0	0
23677	1414	2475	1154	1750	1531	1830
105373939	5	2	1	4	4	1
105373940	0	0	0	0	0	0
105373941	0	0	0	0	0	0
116987	2043	3041	1357	2012	1901	1920
100506749	14	11	0	6	1	4
